Symbol,Time,Open,High,Low,Last,Change,%Change,Volume
META,2020-11-09,289.8699951171875,292.5799865722656,278.5299987792969,278.7699890136719,0.0,0.0,25117700
META,2020-11-10,273.1000061035156,274.0,264.0,272.42999267578125,-6.339996337890625,-2.27,29067700
META,2020-11-11,273.4700012207031,278.3999938964844,272.4800109863281,276.4800109863281,4.050018310546875,1.49,14957000
META,2020-11-12,277.17999267578125,279.75,274.42999267578125,275.0799865722656,-1.4000244140625,-0.51,12899500
META,2020-11-13,277.7200012207031,277.760009765625,273.1000061035156,276.95001220703125,1.870025634765625,0.68,10391200
META,2020-11-16,275.04998779296875,279.4100036621094,274.6300048828125,278.9599914550781,2.009979248046875,0.73,12970400
META,2020-11-17,277.67999267578125,277.67999267578125,273.2900085449219,275.0,-3.959991455078125,-1.42,15040300
META,2020-11-18,274.5199890136719,277.3900146484375,271.8399963378906,271.9700012207031,-3.029998779296875,-1.1,12152900
META,2020-11-19,271.0199890136719,273.4700012207031,269.19000244140625,272.94000244140625,0.970001220703125,0.36,12963700
META,2020-11-20,272.55999755859375,273.0,269.4100036621094,269.70001220703125,-3.239990234375,-1.19,18114700
META,2020-11-23,270.8900146484375,270.95001220703125,264.5299987792969,268.42999267578125,-1.27001953125,-0.47,20990800
META,2020-11-24,268.489990234375,277.82000732421875,267.8699951171875,276.9200134277344,8.490020751953125,3.16,16930400
META,2020-11-25,278.1400146484375,280.17999267578125,272.6499938964844,275.5899963378906,-1.33001708984375,-0.48,12467000
META,2020-11-27,277.3900146484375,279.1300048828125,274.82000732421875,277.80999755859375,2.220001220703125,0.81,7808400
META,2020-11-30,276.0299987792969,277.70001220703125,271.010009765625,276.9700012207031,-0.839996337890625,-0.3,16693300
META,2020-12-01,279.1600036621094,289.29998779296875,278.9599914550781,286.54998779296875,9.579986572265625,3.46,20738900
META,2020-12-02,285.3599853515625,291.7799987792969,280.8299865722656,287.5199890136719,0.970001220703125,0.34,17361600
META,2020-12-03,286.25,286.6499938964844,281.07000732421875,281.8500061035156,-5.66998291015625,-1.97,12921700
META,2020-12-04,280.29998779296875,283.4599914550781,279.29998779296875,279.70001220703125,-2.149993896484375,-0.76,10880300
META,2020-12-07,279.19000244140625,288.489990234375,278.20001220703125,285.5799865722656,5.879974365234375,2.1,13007700
META,2020-12-08,286.010009765625,286.42999267578125,281.54998779296875,283.3999938964844,-2.17999267578125,-0.76,10747700
META,2020-12-09,283.6600036621094,287.6300048828125,271.75,277.9200134277344,-5.47998046875,-1.93,25189700
META,2020-12-10,275.5400085449219,278.7300109863281,271.8599853515625,277.1199951171875,-0.800018310546875,-0.29,20065100
META,2020-12-11,274.5299987792969,276.4800109863281,270.25,273.54998779296875,-3.57000732421875,-1.29,14391400
META,2020-12-14,273.3699951171875,277.2200012207031,271.55999755859375,274.19000244140625,0.6400146484375,0.23,16376900
META,2020-12-15,274.8299865722656,276.0799865722656,267.4700012207031,275.54998779296875,1.3599853515625,0.5,23979500
